category,question,options,correct_answer

"General Knowledge","What is the capital of France?","A. Berlin, B. Madrid, C. Paris, D. Rome","C"
"General Knowledge","Who wrote 'To Kill a Mockingbird'?","A. J.K. Rowling, B. Harper Lee, C. Ernest Hemingway, D. Jane Austen","B"
"General Knowledge","What is the largest ocean on Earth?","A. Atlantic Ocean, B. Indian Ocean, C. Southern Ocean, D. Pacific Ocean","D"
"General Knowledge","Which gas do plants absorb during photosynthesis?","A. Oxygen, B. Carbon Dioxide, C. Nitrogen, D. Hydrogen","B"
"General Knowledge","In which year did Christopher Columbus reach the Americas?","A. 1400, B. 1492, C. 1588, D. 1607","B"
"General Knowledge","Who wrote 'Pride and Prejudice'?","A. Emily Brontë, B. Jane Austen, C. Charles Dickens, D. F. Scott Fitzgerald","B"
"General Knowledge","What is the currency of Japan?","A. Euro, B. Yen, C. Dollar, D. Peso","B"
"General Knowledge","Which planet is known as the 'Red Planet'?","A. Mars, B. Jupiter, C. Venus, D. Saturn","A"
"General Knowledge","What is the national animal of Australia?","A. Kangaroo, B. Koala, C. Platypus, D. Emu","A"
"General Knowledge","Who wrote the play 'Romeo and Juliet'?","A. William Shakespeare, B. Oscar Wilde, C. George Bernard Shaw, D. Anton Chekhov","A"
"General Knowledge","What is the capital of China?","A. Tokyo, B. Beijing, C. Seoul, D. Bangkok","B"
"General Knowledge","In which year did the Titanic sink?","A. 1905, B. 1912, C. 1920, D. 1931","B"
"General Knowledge","Who is known as the 'Father of Computers'?","A. Alan Turing, B. Charles Babbage, C. Bill Gates, D. Steve Jobs","B"
"General Knowledge","What is the world's longest river?","A. Nile, B. Amazon, C. Yangtze, D. Mississippi","B"
"General Knowledge","Which country is known as the 'Land of the Rising Sun'?","A. China, B. Japan, C. South Korea, D. Vietnam","B"
"General Knowledge","What is the chemical symbol for gold?","A. Gd, B. Au, C. Ag, D. Fe","B"
"General Knowledge","Who painted the 'Mona Lisa'?","A. Vincent van Gogh, B. Leonardo da Vinci, C. Pablo Picasso, D. Michelangelo","B"
"General Knowledge","What is the currency of India?","A. Dollar, B. Euro, C. Rupee, D. Yen","C"
"General Knowledge","What is the tallest mountain in the world?","A. Mount Everest, B. K2, C. Kilimanjaro, D. Denali","A"
"General Knowledge","Who wrote '1984'?","A. George Orwell, B. Aldous Huxley, C. J.R.R. Tolkien, D. F. Scott Fitzgerald","A"



"Anime","In 'Naruto,' what is the name of Naruto's ninja team?","A. Team 7, B. Team 10, C. Team Kakashi, D. Team Gai","A"
"Anime","Who is the main character in 'One Punch Man'?","A. Saitama, B. Genos, C. Sonic, D. Mumen Rider","A"
"Anime","In 'Attack on Titan,' what are the giant humanoid creatures threatening humanity called?","A. Titans, B. Giants, C. Colossals, D. Behemoths","A"
"Anime","What is the name of the pirate king in 'One Piece'?","A. Monkey D. Luffy, B. Gol D. Roger, C. Blackbeard, D. Whitebeard","B"
